|    name |     cenx |     ceny |      c1x |      c1y |      c2x |      c2y |      c3x |      c3y |      c4x |      c4y |   nx |   ny |    zerox |    zeroy |    xhatx |    xhaty |    yhatx |    yhaty |
| R14_S12 |   296.25 |   -127.0 |   275.77 |  -147.02 |   316.73 |  -147.02 |   316.73 |  -106.98 |   275.77 |  -106.98 | 4096 | 4004 |  275.775 | -147.015 |  285.775 | -147.015 |  275.775 | -137.015 |
| R14_S20 |   211.75 |   -84.75 |   191.27 |  -104.77 |   232.23 |  -104.77 |   232.23 |   -64.73 |   191.27 |   -64.73 | 4096 | 4004 |  191.275 | -104.765 |  201.275 | -104.765 |  191.275 |  -94.765 |
| R14_S21 |    254.0 |   -84.75 |   233.52 |  -104.77 |   274.48 |  -104.77 |   274.48 |   -64.73 |   233.52 |   -64.73 | 4096 | 4004 |  233.525 | -104.765 |  243.525 | -104.765 |  233.525 |  -94.765 |
| R14_S22 |   296.25 |   -84.75 |   275.77 |  -104.77 |   316.73 |  -104.77 |   316.73 |   -64.73 |   275.77 |   -64.73 | 4096 | 4004 |  275.775 | -104.765 |  285.775 | -104.765 |  275.775 |  -94.765 |
| R20_S00 |  -296.26 |   -42.26 |  -316.62 |   -62.26 |   -275.9 |   -62.26 |   -275.9 |   -22.26 |  -316.62 |   -22.26 | 4072 | 4000 | -316.615 |  -62.255 | -306.615 |  -62.255 | -316.615 |  -52.255 |
| R20_S01 |  -254.01 |   -42.26 |  -274.37 |   -62.26 |  -233.65 |   -62.26 |  -233.65 |   -22.26 |  -274.37 |   -22.26 | 4072 | 4000 | -274.365 |  -62.255 | -264.365 |  -62.255 | -274.365 |  -52.255 |
| R20_S02 |  -211.76 |   -42.26 |  -232.12 |   -62.26 |   -191.4 |   -62.26 |   -191.4 |   -22.26 |  -232.12 |   -22.26 | 4072 | 4000 | -232.115 |  -62.255 | -222.115 |  -62.255 | -232.115 |  -52.255 |
| R20_S10 |  -296.26 |    -0.01 |  -316.62 |   -20.01 |   -275.9 |   -20.01 |   -275.9 |    19.99 |  -316.62 |    19.99 | 4072 | 4000 | -316.615 |  -20.005 | -306.615 |  -20.005 | -316.615 |  -10.005 |
| R20_S11 |  -254.01 |    -0.01 |  -274.37 |   -20.01 |  -233.65 |   -20.01 |  -233.65 |    19.99 |  -274.37 |    19.99 | 4072 | 4000 | -274.365 |  -20.005 | -264.365 |  -20.005 | -274.365 |  -10.005 |
| R20_S12 |  -211.76 |    -0.01 |  -232.12 |   -20.01 |   -191.4 |   -20.01 |   -191.4 |    19.99 |  -232.12 |    19.99 | 4072 | 4000 | -232.115 |  -20.005 | -222.115 |  -20.005 | -232.115 |  -10.005 |
| R20_S20 |  -296.26 |    42.24 |  -316.62 |    22.24 |   -275.9 |    22.24 |   -275.9 |    62.24 |  -316.62 |    62.24 | 4072 | 4000 | -316.615 |   22.245 | -306.615 |   22.245 | -316.615 |   32.245 |
| R20_S21 |  -254.01 |    42.24 |  -274.37 |    22.24 |  -233.65 |    22.24 |  -233.65 |    62.24 |  -274.37 |    62.24 | 4072 | 4000 | -274.365 |   22.245 | -264.365 |   22.245 | -274.365 |   32.245 |
| R20_S22 |  -211.76 |    42.24 |  -232.12 |    22.24 |   -191.4 |    22.24 |   -191.4 |    62.24 |  -232.12 |    62.24 | 4072 | 4000 | -232.115 |   22.245 | -222.115 |   22.245 | -232.115 |   32.245 |
| R21_S00 |  -169.25 |   -42.25 |  -189.73 |   -62.27 |  -148.77 |   -62.27 |  -148.77 |   -22.23 |  -189.73 |   -22.23 | 4096 | 4004 | -189.725 |  -62.265 | -179.725 |  -62.265 | -189.725 |  -52.265 |
| R21_S01 |   -127.0 |   -42.25 |  -147.48 |   -62.27 |  -106.52 |   -62.27 |  -106.52 |   -22.23 |  -147.48 |   -22.23 | 4096 | 4004 | -147.475 |  -62.265 | -137.475 |  -62.265 | -147.475 |  -52.265 |
| R21_S02 |   -84.75 |   -42.25 |  -105.23 |   -62.27 |   -64.27 |   -62.27 |   -64.27 |   -22.23 |  -105.23 |   -22.23 | 4096 | 4004 | -105.225 |  -62.265 |  -95.225 |  -62.265 | -105.225 |  -52.265 |
| R21_S10 |  -169.25 |      0.0 |  -189.73 |   -20.02 |  -148.77 |   -20.02 |  -148.77 |    20.02 |  -189.73 |    20.02 | 4096 | 4004 | -189.725 |  -20.015 | -179.725 |  -20.015 | -189.725 |  -10.015 |
